event_id,event_final_rms_s_preferred,event_final_rms_s_1d
SGC2023acggtw,0.27732609420594273,0.3287558538880036
SGC2023acscto,0.23347086589017693,0.35762652921178206
SGC2023aflejx,0.5185368501635692,0.6240598276474525
SGC2023afqhyw,0.20692810070398351,0.22399649663506002
SGC2023ageiak,0.32291546214111,0.6162610765074655
SGC2023agufsq,0.25421395111150563,0.23703607234347024
SGC2023ahkqrx,0.5494454052687081,0.33828830177578934
SGC2023aibbna,0.10913451454246027,0.1999414306995344
SGC2023aieshj,0.2697774723949683,0.26132210141314577
SGC2023airmww,0.18724045138929882,0.15004566855733964
SGC2023aisttn,0.17658480957485412,0.34391548082354273
SGC2023ajctha,0.29685674821189084,0.30229306975242853
SGC2023ajetdo,0.14432636429714488,0.16179902754230274
SGC2023ajhiqw,0.40277794461354305,0.4462623184799673
SGC2023ajnqjp,0.20160054294211005,0.12817966048238844
SGC2023akgcos,0.3264141549075525,0.2793975560250168
SGC2023akggpf,0.5907455365706507,0.4806409860027237
SGC2023akwqoi,0.17027516659163203,0.14406764383284762
SGC2023alinde,0.33970326025155945,0.20318908212436634
SGC2023alwkvy,0.16163255649537933,0.18278065526489304
SGC2023amprep,0.20807890233525062,0.2338331576886622
SGC2023amrubr,0.7491160061497235,0.8184799013383312
SGC2023amxrgm,0.195319645383815,0.1999455088487909
SGC2023amzmuc,0.36269964207290933,0.33107853533376425
SGC2023anchdr,0.2831757467248275,0.3707611225079354
SGC2023anepfp,0.33906215043292753,0.3499141268741209
SGC2023anotin,0.33595021458362406,0.3003907199397918
SGC2023anyqdm,0.4064636762384172,0.3019952615551312
SGC2023apewsk,0.3920707691017565,0.2615370849578113
SGC2023aqhmbd,0.47396511656931006,0.4144214913539466
SGC2023aqixkz,0.5579153548915481,0.4642488156441104
SGC2023aquzjv,0.1624876390610098,0.1858915925871772
SGC2023aqxdaa,0.22872002736772162,0.1419388891664312
SGC2023arvqnb,0.27278416102896674,0.1473738579040369
SGC2023arxybx,0.23911569472675145,0.13622456393320953
SGC2023asvunm,0.1563992745900915,0.17164775979561883
SGC2023autrdd,0.36692906888627247,0.5308273160301539
SGC2023auykoo,0.2754394467438145,0.11631398443575024
SGC2023avatxi,0.2786388746991234,0.19119306901239505
SGC2023avtpcq,0.28316150887870173,0.337784682959982
SGC2023awmqqy,0.3364415751674505,0.15295266870501117
SGC2023awozcj,0.17805595718386644,0.23282871119525225
SGC2023awpopc,0.3086208978721497,0.35537100562457274
SGC2023awsjjn,0.28606284758065087,0.16987637181243867
SGC2023aygbqk,0.1481219639482704,0.15153083536242065
SGC2023azgeyu,0.34626920341835493,0.37711604884792077
SGC2023azklpd,0.38482271257425715,0.37545448108457397
SGC2023baskzy,0.2553204436029247,0.198136455062795
SGC2023bbegtw,0.20069326887203398,0.288417358622318
SGC2023bdrunx,0.3654641083638072,0.26353549999812687
SGC2023bdykyx,0.3059308133476436,0.28038359923663203
SGC2023bfiqip,0.2648225369277198,0.11234103467035447
SGC2023bfspsf,0.4461146403096351,0.5333069302426101
SGC2023bfwuab,0.11785695229967844,0.16471438341347047
SGC2023bgydgw,0.2646012659269206,0.21204991476759175
SGC2023bgyjti,0.26237634994766057,0.20016152904430473
SGC2023bhnimu,0.28262969708050956,0.16518756192849318
SGC2023bhuhlk,0.4382401177071797,0.4442920372982245
SGC2023bidror,0.2641377254724245,0.1626994282822324
SGC2023bijvvj,0.1832482407645699,0.17943972146732604
SGC2023bjhhmw,0.12745856058556715,0.1611713704252541
SGC2023bkherp,0.34269353242269046,0.2443682895043054
SGC2023bmixxl,0.21413261069605563,0.28070229001242664
